NOTES: more 4's, no 7's
maneuver_start,maneuver_type,duration_prior_s,fixated_obj_id,fixated_class_id,fixation_frames,total_gaze_frames
2000,LLC,2,450,1,18,18
2000,LLC,2,452,1,19,19
2000,LLC,5,433,1,20,20
2000,LLC,5,413,1,28,75
2000,LLC,5,450,1,18,18
2000,LLC,5,452,1,19,19
2000,LLC,10,418,1,15,23
2000,LLC,10,413,1,28,134
2000,LLC,10,419,1,21,21
2000,LLC,10,421,1,18,18
2000,LLC,10,433,1,20,22
2000,LLC,10,450,1,18,18
2000,LLC,10,452,1,19,19
2039,ST,5,413,1,28,51
2039,ST,5,450,1,18,18
2039,ST,5,452,1,19,19
2039,ST,10,413,1,28,131
2039,ST,10,433,1,20,22
2039,ST,10,450,1,18,18
2039,ST,10,452,1,19,19
2124,LT,2,484,1,19,19
2124,LT,2,488,1,31,31
2124,LT,2,497,1,23,28
2124,LT,5,472,1,17,17
2124,LT,5,484,1,19,20
2124,LT,5,488,1,31,31
2124,LT,5,497,1,23,28
2124,LT,10,413,1,28,85
2124,LT,10,433,1,20,22
2124,LT,10,450,1,18,18
2124,LT,10,452,1,19,19
2124,LT,10,472,1,17,17
2124,LT,10,484,1,19,20
2124,LT,10,488,1,31,31
2124,LT,10,497,1,23,28
2164,ST,5,472,1,17,17
2164,ST,5,484,1,19,20
2164,ST,5,488,1,31,31
2164,ST,5,497,1,23,28
2164,ST,10,413,1,28,73
2164,ST,10,450,1,18,18
2164,ST,10,452,1,19,19
2164,ST,10,472,1,17,17
2164,ST,10,484,1,19,20
2164,ST,10,488,1,31,31
2164,ST,10,497,1,23,28
2611,RT,10,536,1,24,24
2611,RT,10,543,1,40,41
4757,LT,2,2246,1,22,22
4910,LLC,2,2469,1,18,18
4910,LLC,5,2469,1,18,18
4973,ST,2,2469,6,25,31
4973,ST,5,2469,6,28,52
5242,LT,2,2727,1,19,19
5242,LT,2,2771,1,16,17
5282,ST,2,2771,1,23,25
7824,LLC,2,4296,1,21,28
7824,LLC,2,4309,1,20,36
7824,LLC,5,4279,1,20,29
7824,LLC,5,4296,1,21,39
7824,LLC,5,4309,1,20,36
7824,LLC,10,4268,1,15,17
7824,LLC,10,4279,1,20,29
7824,LLC,10,4296,1,21,39
7824,LLC,10,4309,1,20,36
7851,ST,2,4309,1,18,25
7851,ST,2,4333,1,16,22
7851,ST,5,4279,1,20,29
7851,ST,5,4296,1,21,39
7851,ST,5,4309,1,20,36
7851,ST,5,4333,1,16,22
7851,ST,10,4268,1,15,17
7851,ST,10,4279,1,20,29
7851,ST,10,4296,1,21,39
7851,ST,10,4309,1,20,36
7851,ST,10,4333,1,16,22
9100,LT,2,5306,1,18,24
9100,LT,2,5303,1,22,40
9100,LT,5,5259,1,30,40
9100,LT,5,5303,1,60,78
9100,LT,5,5306,1,18,39
9100,LT,10,5235,1,27,27
9100,LT,10,5259,1,30,54
9100,LT,10,5303,1,60,78
9100,LT,10,5306,1,18,39
9152,ST,5,5303,1,60,78
9152,ST,5,5306,1,18,39
9152,ST,10,5235,1,27,27
9152,ST,10,5259,1,30,54
9152,ST,10,5303,1,60,78
9152,ST,10,5306,1,18,39
9248,LLC,10,5259,1,30,42
9248,LLC,10,5303,1,60,78
9248,LLC,10,5306,1,18,39
9327,ST,2,5572,1,34,40
9327,ST,2,5574,1,15,17
9327,ST,5,5514,2,21,21
9327,ST,5,5572,1,34,40
9327,ST,5,5574,1,15,17
9327,ST,10,5303,1,35,53
9327,ST,10,5306,1,18,32
9327,ST,10,5514,2,21,21
9327,ST,10,5572,1,34,40
9327,ST,10,5574,1,15,17
11244,LLC,10,7463,1,20,29
11275,ST,2,7598,4,17,17
11275,ST,5,7598,4,17,17
11275,ST,10,7463,1,20,29
11275,ST,10,7598,4,17,17
11678,LT,2,7846,1,23,43
11678,LT,2,7845,1,24,42
11678,LT,5,7843,1,20,68
11678,LT,5,7845,1,24,80
11678,LT,5,7846,1,23,77
11678,LT,10,7843,1,20,68
11678,LT,10,7845,1,24,80
11678,LT,10,7846,1,23,77
11775,ST,5,7846,1,23,39
11775,ST,5,7845,1,24,37
11775,ST,10,7843,1,20,68
11775,ST,10,7845,1,24,80
11775,ST,10,7846,1,23,78
12802,RLC,5,7981,1,54,91
12802,RLC,10,7981,1,54,227
12802,RLC,10,8118,1,19,44
12802,RLC,10,8130,1,18,97
12802,RLC,10,8133,1,16,16
12841,ST,5,7981,1,24,80
12841,ST,10,8118,1,19,28
12841,ST,10,7981,1,54,218
12841,ST,10,8130,1,18,97
12841,ST,10,8133,1,16,16
13050,LT,5,7981,1,18,26
13050,LT,5,8210,4,15,73
13050,LT,10,7981,1,19,113
13050,LT,10,8210,4,15,73
13097,ST,10,7981,1,19,101
13097,ST,10,8210,4,15,73
13234,RT,5,8302,1,20,68
13234,RT,5,8303,1,16,20
13234,RT,10,8210,4,15,63
13234,RT,10,8302,1,20,68
13234,RT,10,8303,1,16,20
13266,ST,5,8302,1,20,66
13266,ST,5,8303,1,16,20
13266,ST,10,8302,1,20,68
13266,ST,10,8303,1,16,20
13333,LT,10,8302,1,20,68
13333,LT,10,8303,1,16,20
13371,ST,10,8302,1,20,68
13371,ST,10,8303,1,16,20
